,host_name,host_since,host_neighbourhood,property_type,room_type,price
41,Darrell E,2011-05-02,Echo Park,Entire guesthouse,Entire home/apt,$85.00
42,Ines,2010-04-01,North Hollywood,Entire rental unit,Entire home/apt,$84.00
43,David,2011-05-10,Mid-Wilshire,Private room in home,Private room,$71.00
44,Margarita,2011-05-11,West Hollywood,Entire condo,Entire home/apt,$135.00
45,David Scott,2011-05-16,Topanga,Entire home,Entire home/apt,$114.00
46,Andy,2010-08-08,Lynwood,Room in boutique hotel,Private room,
47,Vacation Living,2010-08-31,Altadena,Entire home,Entire home/apt,$116.00
48,Gloria,2011-05-24,Beverly Hills,Entire rental unit,Entire home/apt,$209.00
49,Jeff,2011-05-30,,Private room in home,Private room,$86.00
50,Sophie,2010-02-08,Echo Park,Entire rental unit,Entire home/apt,$119.00
51,Georgia,2009-12-04,Valley Village,Entire vacation home,Entire home/apt,$563.00
52,Nichola,2011-12-09,Burbank,Private room in home,Private room,$104.00
53,Maddalena,2010-05-30,Atwater Village,Entire home,Entire home/apt,$243.00
54,Sean,2011-12-12,Woodland Hills/Warner Center,Private room in rental unit,Private room,$58.00
55,Mariko,2012-02-05,Lake Balboa,Private room in home,Private room,$96.00
56,Elizabeth,2011-12-15,Pasadena,Tiny home,Entire home/apt,$105.00
57,Cyn-Anthony,2011-12-22,West Hollywood,Entire guesthouse,Entire home/apt,$114.00
58,Darren John,2011-11-16,Torrance,Private room in rental unit,Private room,
59,Chris,2011-12-25,,Entire rental unit,Entire home/apt,$122.00
60,Andrea & Darren,2011-12-29,Echo Park,Entire rental unit,Entire home/apt,$110.00
61,Marco,2011-05-31,Valley Glen,Private room in home,Private room,$50.00
62,Alexio & Vero,2011-05-27,Laurel Canyon,Entire villa,Entire home/apt,"$1,108.00"
63,David Scott,2011-05-16,Topanga,Entire home,Entire home/apt,$92.00
64,Jefferson,2009-11-24,Arts District,Room in boutique hotel,Private room,$51.00
65,Julie,2011-06-07,West Los Angeles,Entire guesthouse,Entire home/apt,$140.00
66,Alejandra,2011-06-07,Atwater Village,Entire guesthouse,Entire home/apt,$115.00
67,Marwan,2011-06-16,Sun Valley,Private room in home,Private room,$83.00
68,Marco,2011-05-31,Valley Glen,Entire guest suite,Entire home/apt,$75.00
69,Nelson,2011-12-29,Venice,Entire home,Entire home/apt,$96.00
70,David,2012-01-06,,Private room in home,Private room,$60.00
71,Felix,2011-10-06,Venice,Private room in rental unit,Private room,
72,Yael,2012-01-13,South LA,Entire home,Entire home/apt,$125.00
73,Vanessa,2012-01-14,,Entire home,Entire home/apt,$156.00
74,Pete,2012-01-23,Hermosa Beach,Entire home,Entire home/apt,
75,Nitin Suresh,2012-01-23,South LA,Entire rental unit,Entire home/apt,$149.00
76,Emmy,2012-01-24,East Hollywood,Entire rental unit,Entire home/apt,
77,Thomasina,2011-09-05,Marina Del Rey,Entire bungalow,Entire home/apt,$170.00
78,Lisa,2010-01-11,Venice,Entire home,Entire home/apt,
79,Jeanette,2011-06-23,Manhattan Beach,Entire guesthouse,Entire home/apt,$132.00
80,Kaj,2011-06-23,Venice,Entire home,Entire home/apt,
81,David Scott,2011-05-16,Topanga,Entire cottage,Entire home/apt,$118.00
82,Eric,2011-07-04,Rancho Palos Verdes,Private room in home,Private room,$84.00
83,David Scott,2011-05-16,Topanga,Entire cabin,Entire home/apt,$144.00
84,Jefferson,2009-11-24,Arts District,Room in boutique hotel,Private room,$51.00
85,Arna,2010-11-22,Mid-Wilshire,Entire rental unit,Entire home/apt,$229.00
86,Rebecca,2011-07-25,,Entire guesthouse,Entire home/apt,$102.00
87,Johanna,2011-07-26,,Entire rental unit,Entire home/apt,$140.00
88,Lisa,2010-01-11,Venice,Entire home,Entire home/apt,$171.00
89,Giuditta,2010-01-16,Del Rey,Private room in home,Private room,$63.00
90,Charlotte,2011-10-16,Topanga,Camper/RV,Entire home/apt,$360.00
91,Elaine,2009-08-28,Hollywood,Private room in home,Private room,$110.00
92,Tim,2012-01-30,North Hollywood,Private room in rental unit,Private room,
93,Gregory,2011-03-07,Mid-Wilshire,Entire home,Entire home/apt,$277.00
94,Patrick,2011-06-16,Santa Monica,Entire home,Entire home/apt,"$1,067.00"
95,Cyn-Anthony,2011-12-22,West Hollywood,Farm stay,Entire home/apt,$114.00
96,Ryan Jones,2012-02-14,Pacific Palisades,Entire rental unit,Entire home/apt,$62.00
97,Daniel,2014-02-02,West Los Angeles,Entire rental unit,Entire home/apt,$150.00
98,Dale,2012-02-15,Silver Lake,Entire loft,Entire home/apt,$260.00
99,Janet,2010-01-29,Silver Lake,Private room in home,Private room,$90.00
100,Barbara,2010-02-05,Venice,Entire guesthouse,Entire home/apt,$140.00
101,Barbara X,2011-07-25,Venice,Entire rental unit,Entire home/apt,$85.00
102,Daniel,2011-08-01,Hollywood Hills,Entire home,Entire home/apt,
103,Lisa,2011-04-01,Echo Park,Private room in townhouse,Private room,$68.00
104,Shelli-Anne,2012-01-11,Atwater Village,Entire guesthouse,Entire home/apt,$120.00
105,Michelle,2011-08-09,Palms,Entire rental unit,Entire home/apt,
106,Debra,2011-02-15,Mar Vista,Private room in home,Private room,$129.00
107,Sophie,2010-02-08,Echo Park,Entire rental unit,Entire home/apt,$114.00
108,Diana,2011-08-13,Silver Lake,Entire condo,Entire home/apt,$151.00
109,Jeffrey,2011-08-14,West Hollywood,Entire bungalow,Entire home/apt,$123.00
110,Lisa,2010-09-12,Santa Monica,Entire condo,Entire home/apt,$104.00
111,Tatiana,2010-03-15,Highland Park,Entire guest suite,Entire home/apt,$174.00
112,Eco Boutique,2010-03-18,Venice,Entire guesthouse,Entire home/apt,$359.00
113,Marat,2012-02-20,Mid-Wilshire,Private room in rental unit,Private room,
114,Elizabeth,2012-02-22,Long Beach,Private room in home,Private room,$224.00
115,Robert,2013-11-20,Santa Monica,Entire guesthouse,Entire home/apt,$220.00
116,Sophie,2010-02-08,Echo Park,Entire rental unit,Entire home/apt,
117,Carolyn,2012-02-25,Pasadena,Private room in home,Private room,$80.00
118,Andrea & Darren,2011-12-29,Echo Park,Entire rental unit,Entire home/apt,$150.00
119,Natalie,2011-03-27,Mid-Wilshire,Private room in home,Private room,$77.00
120,Pamela,2012-11-28,Echo Park,Entire guest suite,Entire home/apt,$108.00
121,Henry,2009-11-18,Hollywood Hills,Entire guest suite,Entire home/apt,$223.00
122,Michaela,2010-03-19,Venice,Entire bungalow,Entire home/apt,$130.00
123,Omar,2009-09-17,Redondo Beach,Entire bungalow,Entire home/apt,$177.00
124,Zara,2010-03-24,Mount Washington,Entire home,Entire home/apt,$450.00
125,Joy,2010-02-01,South Robertson,Entire townhouse,Entire home/apt,$331.00
126,Calvin,2011-08-29,Santa Monica,Private room in condo,Private room,$80.00
127,Gil,2011-08-29,Hollywood,Entire rental unit,Entire home/apt,$295.00
128,Thomasina,2011-09-05,Marina Del Rey,Entire bungalow,Entire home/apt,$177.00
129,Lark,2011-07-10,Mid-Wilshire,Entire rental unit,Entire home/apt,$67.00
130,Grant,2011-09-12,Mid-Wilshire,Private room in rental unit,Private room,
131,Ramaa Devi,2011-09-07,Venice,Entire home,Entire home/apt,"$1,008.00"
132,Osiris,2011-09-19,San Pedro,Private room in home,Private room,$38.00
133,Jainée,2012-03-02,Hollywood,Entire rental unit,Entire home/apt,
134,Gregory,2012-03-06,Echo Park,Entire home,Entire home/apt,
135,Bianca,2012-01-24,Silver Lake,Entire rental unit,Entire home/apt,$338.00
136,Ramesh,2011-06-26,Hollywood,Entire rental unit,Entire home/apt,
137,Todd,2012-02-24,Hermosa Beach,Private room in home,Private room,$151.00
138,Jerry,2012-03-10,Mid-Wilshire,Entire rental unit,Entire home/apt,$224.00
139,Lynn,2012-03-12,Topanga,Entire guesthouse,Entire home/apt,$206.00
140,Tanya,2012-03-17,Topanga,Entire home,Entire home/apt,$221.00
141,Tiger,2012-03-19,Arts District,Private room in loft,Private room,$42.00
142,Sandra,2010-04-12,Westside,Entire rental unit,Entire home/apt,$101.00
143,Sarah,2009-03-28,Woodland Hills/Warner Center,Private room in home,Private room,$57.00
144,Jodea,2011-07-09,Westside,Private room in home,Private room,
145,Amir,2012-08-27,Westside,Entire rental unit,Entire home/apt,$109.00
146,Megan,2011-10-04,Venice,Entire bungalow,Entire home/apt,$699.00
147,Megan,2011-10-04,Venice,Entire home,Entire home/apt,"$1,499.00"
148,Thaddeus,2011-08-27,Topanga,Entire guesthouse,Entire home/apt,$225.00
149,Catherine,2011-10-03,Studio City,Private room in rental unit,Private room,
150,William,2011-10-10,Long Beach,Entire home,Entire home/apt,$226.00
151,Monica,2011-09-17,,Private room in home,Private room,
152,Luu,2010-04-09,Culver City,Private room,Private room,$170.00
153,Spencer,2010-06-11,Culver City,Entire home,Entire home/apt,$158.00
154,Craig Martin,2012-03-19,Hollywood,Entire cottage,Entire home/apt,$169.00
155,Robert,2013-11-20,Santa Monica,Entire home,Entire home/apt,$490.00
156,Deborah,2012-03-17,Beverly Hills,Entire guesthouse,Entire home/apt,$274.00
157,Somroy,2012-03-20,Glendale,Entire home,Entire home/apt,$104.00
158,Rose Ann,2012-03-24,Del Rey,Entire home,Entire home/apt,$145.00
159,Cyn-Anthony,2011-12-22,West Hollywood,Entire guesthouse,Entire home/apt,$114.00
160,Cathy,2012-03-25,Woodland Hills/Warner Center,Entire rental unit,Entire home/apt,$85.00
161,Alison Rose,2012-03-29,Mid-Wilshire,Entire guest suite,Entire home/apt,$129.00
162,Veronica,2012-09-18,Hollywood Hills,Entire home,Entire home/apt,$476.00
163,William,2011-10-10,Long Beach,Entire home,Entire home/apt,$186.00
164,Jane Rose,2011-01-11,Studio City,Entire guesthouse,Entire home/apt,
165,Kasia,2011-10-26,Bel Air/Beverly Crest,Entire home,Entire home/apt,$760.00
166,Michelle,2012-07-03,Mar Vista,Entire guesthouse,Entire home/apt,$63.00
167,Ilya,2016-06-04,Venice,Entire home,Entire home/apt,$540.00
168,Linda,2012-07-09,,Entire guesthouse,Entire home/apt,$202.00
169,Dylan,2012-07-09,,Entire rental unit,Entire home/apt,$943.00
170,Ernesto,2012-07-10,Echo Park,Private room in home,Private room,$160.00
171,Patricia,2010-06-15,Malibu,Entire guesthouse,Entire home/apt,
172,Laura,2012-01-30,Silver Lake,Private room in rental unit,Private room,
173,Michelle,2012-04-02,Santa Monica,Entire home,Entire home/apt,$891.00
174,Amy,2012-04-03,Sherman Oaks,Private room in rental unit,Private room,
175,Bianca,2012-01-24,Silver Lake,Entire rental unit,Entire home/apt,$213.00
176,Eva,2012-04-09,Venice,Entire cottage,Entire home/apt,
177,Geoff,2012-04-10,Silver Lake,Entire rental unit,Entire home/apt,
178,Diane,2012-04-10,Venice,Entire rental unit,Entire home/apt,$130.00
179,Jamie,2011-03-11,Hollywood Hills,Entire rental unit,Entire home/apt,$95.00
180,Hassan,2012-04-06,Studio City,Private room in rental unit,Private room,$65.00
181,Rachel,2012-04-17,,Private room in rental unit,Private room,$79.00
182,Charles,2010-07-07,West Adams,Entire guest suite,Entire home/apt,$89.00
183,Frankie,2012-07-11,Hollywood,Entire home,Entire home/apt,$312.00
184,Petr,2012-07-12,Lincoln Heights,Entire loft,Entire home/apt,
185,Laurie,2012-07-10,Redondo Beach,Private room in home,Private room,$89.00
186,Teresa,2012-07-04,Lincoln Heights,Private room in home,Private room,$95.00
187,Shirley,2012-07-13,Santa Monica,Entire home,Entire home/apt,$500.00
188,Teresa,2012-07-04,Lincoln Heights,Entire rental unit,Entire home/apt,$253.00
189,Mary,2011-06-26,Hermosa Beach,Entire condo,Entire home/apt,$331.00
190,Pixie E,2012-07-12,Alhambra,Entire condo,Entire home/apt,$120.00
191,Wendy,2012-07-23,Laurel Canyon,Entire home,Entire home/apt,$280.00
192,Michael,2010-07-20,South Robertson,Private room in rental unit,Private room,$53.00
193,Jefferson,2009-11-24,Arts District,Room in boutique hotel,Private room,$51.00
194,Leanna,2010-08-08,Van Nuys,Private room in home,Private room,$54.00
195,David Scott,2011-05-16,Topanga,Entire home,Entire home/apt,$97.00
196,Dee,2012-04-21,,Private room in condo,Private room,$67.00
197,Lucy,2012-04-21,Long Beach,Private room in home,Private room,$113.00
198,Anne,2012-01-10,Hollywood,Private room in rental unit,Private room,
199,Anahita,2011-10-27,Hollywood,Entire rental unit,Entire home/apt,$195.00
200,Neva,2012-04-17,Kailua/Kona,Entire home,Entire home/apt,$170.00
201,Christopher,2011-05-23,Sherman Oaks,Entire home,Entire home/apt,$97.00
202,Vicki,2012-07-24,Hollywood Hills,Entire guest suite,Entire home/apt,$110.00
203,Ethan,2012-10-16,Silver Lake,Entire home,Entire home/apt,$346.00
204,Paul,2012-07-26,Hollywood Hills,Entire home,Entire home/apt,$383.00
205,David Scott,2011-05-16,Topanga,Entire home,Entire home/apt,$104.00
206,Denise,2011-12-16,West Hollywood,Entire rental unit,Entire home/apt,$168.00
207,Tirza,2012-07-30,North Hollywood,Entire home,Entire home/apt,
208,Natasha,2012-07-30,Venice,Entire home,Entire home/apt,$305.00
209,Andy,2010-08-08,Lynwood,Room in hotel,Private room,$93.00
210,Andy,2010-08-08,Lynwood,Room in hotel,Private room,$93.00
211,Martha Olivia,2010-08-14,Glassell Park,Private room in home,Private room,$65.00
212,Timothy,2015-11-30,Silver Lake,Entire bungalow,Entire home/apt,$122.00
213,Michael,2012-04-20,Del Rey,Private room in home,Private room,
214,Lucy,2012-04-21,Long Beach,Private room in home,Private room,$113.00
215,Robert Emmett,2012-05-09,Venice,Entire home,Entire home/apt,$225.00
216,Kevin,2012-05-11,Venice,Entire condo,Entire home/apt,$300.00
217,Simone,2012-05-11,Woodland Hills/Warner Center,Entire home,Entire home/apt,$185.00
218,Delphine,2012-05-21,Brentwood,Entire home,Entire home/apt,$650.00
219,Stephen,2012-05-22,Mar Vista,Entire guesthouse,Entire home/apt,$127.00
220,Dawn,2012-04-16,Venice,Entire home,Entire home/apt,
221,Mark,2012-05-24,Venice,Private room in townhouse,Private room,$145.00
222,Geerat,2012-04-28,Woodland Hills/Warner Center,Entire home,Entire home/apt,
223,Audrey,2012-08-05,Pasadena,Private room in home,Private room,$72.00
224,Teresa,2012-07-04,Lincoln Heights,Entire rental unit,Entire home/apt,$250.00
225,Ness,2012-08-07,West Hollywood,Entire guesthouse,Entire home/apt,$213.00
226,Masha,2012-08-08,Mar Vista,Entire townhouse,Entire home/apt,$184.00
227,Alayha,2012-08-09,Palms,Private room in rental unit,Private room,$52.00
228,Teresa,2012-07-04,Lincoln Heights,Private room in home,Private room,$95.00
229,Mary,2012-06-12,Hollywood,Private room in rental unit,Private room,$60.00
230,Janet,2010-01-29,Silver Lake,Entire guesthouse,Entire home/apt,$150.00
231,Brenna,2010-08-23,Culver City,Entire home,Entire home/apt,$311.00
232,Mary,2012-06-12,Hollywood,Private room in rental unit,Private room,$60.00
233,Daniel,2011-08-01,Hollywood Hills,Private room in home,Private room,
234,Debra,2011-07-12,South Pasadena,Private room in treehouse,Private room,$104.00
235,Liz,2012-08-20,Baldwin Hills,Private room in home,Private room,$345.00
236,Manige,2012-08-23,Beverly Hills,Entire home,Entire home/apt,$349.00
237,Isabelle,2012-08-23,Topanga,Entire guesthouse,Entire home/apt,$131.00
238,Nancy,2012-08-26,Monrovia,Entire home,Entire home/apt,$126.00
239,Craig Anthony,2012-08-26,Venice,Entire rental unit,Entire home/apt,$150.00
240,Mary,2012-06-12,Hollywood,Private room in rental unit,Private room,$60.00
241,Amir,2012-08-27,Westside,Entire rental unit,Entire home/apt,$154.00
242,Bryce,2012-05-25,Canoga Park,Private room in home,Private room,$110.00
243,Riccardo,2012-05-25,Arts District,Entire loft,Entire home/apt,$300.00
244,Stephanie,2012-05-26,Santa Monica,Entire place,Entire home/apt,$145.00
245,Laura,2012-05-27,Eagle Rock,Entire home,Entire home/apt,$304.00
246,Tom,2012-05-29,Lake Balboa,Entire rental unit,Entire home/apt,$64.00
247,Sharon,2012-05-30,Santa Monica,Entire home,Entire home/apt,
248,Darrell,2012-04-30,Topanga,Entire cottage,Entire home/apt,$143.00
249,Rebecca,2010-08-30,Culver City,Private room in home,Private room,
250,Ana Maria,2010-09-07,Glendale,Entire rental unit,Entire home/apt,$90.00
251,Amir,2012-08-27,Westside,Entire rental unit,Entire home/apt,$105.00
252,Ronit,2012-08-27,Sherman Oaks,Private room in home,Private room,$117.00
253,Edwin,2012-09-01,Culver City,Entire home,Entire home/apt,$311.00
254,Bic,2012-09-03,Redondo Beach,Entire home,Entire home/apt,$595.00
255,Amy,2012-09-03,Rolling Hills Estates,Entire guesthouse,Entire home/apt,$310.00
256,Mica Ella,2025-02-26,,Entire home,Entire home/apt,$293.00
257,Shana,2012-05-07,Echo Park,Private room in rental unit,Private room,$45.00
258,Debbie And Mike,2012-09-07,Burbank,Entire guesthouse,Entire home/apt,$185.00
259,Bobby-PC,2012-09-08,Westchester/Playa Del Rey,Entire condo,Entire home/apt,$69.00
260,Anton,2011-12-28,Venice,Entire rental unit,Entire home/apt,
261,Maja,2012-06-02,Silver Lake,Entire rental unit,Entire home/apt,
262,Jeffrey,2012-02-25,Glendale,Entire home,Entire home/apt,
263,Kyra Anastasia,2009-10-28,Venice,Entire home,Entire home/apt,$228.00
264,Shay,2010-02-10,Hollywood,Private room in home,Private room,$141.00
265,Mark,2012-05-24,Venice,Private room in townhouse,Private room,$237.00
266,John,2012-06-09,Venice,Entire loft,Entire home/apt,$269.00
267,David,2010-09-15,Atwater Village,Entire bungalow,Entire home/apt,$75.00
268,Bay,2010-09-16,Mar Vista,Entire home,Entire home/apt,
269,Elen,2010-09-16,Hollywood Hills,Entire rental unit,Entire home/apt,$105.00
270,Craig And Jetty,2012-09-08,Beverly Hills,Entire home,Entire home/apt,
271,Eric,2011-07-04,Rancho Palos Verdes,Private room in home,Private room,$87.00
272,Walter,2012-09-09,Silver Lake,Entire home,Entire home/apt,$86.00
273,Buz,2012-04-09,Venice,Entire rental unit,Entire home/apt,$200.00
274,Franco,2012-09-12,Del Rey,Entire guesthouse,Entire home/apt,$205.00
275,Phillip,2012-09-11,North Hollywood,Entire home,Entire home/apt,$180.00
276,Buz,2012-04-09,Venice,Entire rental unit,Entire home/apt,$125.00
277,Buz,2012-04-09,Venice,Entire rental unit,Entire home/apt,$150.00
278,David Scott,2011-05-16,Topanga,Ranch,Entire home/apt,$131.00
279,Tara,2012-09-17,Mar Vista,Entire home,Entire home/apt,
280,Dino,2012-09-17,Silver Lake,Treehouse,Entire home/apt,$121.00
281,Silvio,2010-09-19,Santa Monica,Room in boutique hotel,Private room,$152.00
282,Albert,2010-09-24,Pasadena,Private room in home,Private room,$100.00
283,Jo-Ann,2012-06-06,Venice,Entire guesthouse,Entire home/apt,$206.00
284,Patric,2012-06-10,Burbank,Private room in home,Private room,$97.00
285,Mary,2012-06-12,Hollywood,Private room in rental unit,Private room,$60.00
286,Carrie,2012-02-19,El Segundo,Private room,Private room,$81.00
287,Bianca,2012-01-24,Silver Lake,Entire rental unit,Entire home/apt,$207.00
288,Katja,2012-06-13,Santa Monica,Entire home,Entire home/apt,$659.00
289,Mia & Anthony,2012-06-15,Echo Park,Entire guest suite,Entire home/apt,$115.00
290,Michael,2010-09-20,Mid-Wilshire,Entire rental unit,Entire home/apt,$135.00
291,Michael,2010-11-24,Venice,Entire condo,Entire home/apt,$417.00
292,Robin,2010-11-24,Glassell Park,Entire home,Entire home/apt,$86.00
293,Dino,2012-09-17,Silver Lake,Treehouse,Entire home/apt,$129.00
294,Shoshana,2012-09-19,Encino,Private room in home,Private room,
295,Bill And Carrie,2012-07-05,Whittier,Entire home,Entire home/apt,$280.00
296,Arna,2010-11-22,Mid-Wilshire,Entire rental unit,Entire home/apt,$160.00
297,Bi,2012-09-25,Silver Lake,Entire home,Entire home/apt,$134.00
298,Christal,2012-09-23,Panorama City,Private room in home,Private room,$41.00
299,Thomas,2012-08-18,Mid-City,Entire rental unit,Entire home/apt,$95.00
300,Maryam,2012-04-12,Echo Park,Entire home,Entire home/apt,$122.00
301,Vera,2012-01-31,Hollywood Hills,Entire home,Entire home/apt,$501.00
302,Vincenzo,2010-12-04,Hollywood Hills,Private room in home,Private room,$183.00
303,Paul,2010-11-12,Hollywood Hills,Entire home,Entire home/apt,$250.00
304,Brenna,2010-08-23,Culver City,Entire guesthouse,Entire home/apt,$147.00
305,Sourech,2014-12-21,,Entire rental unit,Entire home/apt,
306,Gidget,2013-09-02,Santa Monica,Private room in home,Private room,$107.00
307,Ariel,2012-06-25,Westwood,Private room in home,Private room,$85.00
308,Yvonne Mercedes,2012-06-25,Hermosa Beach,Entire home,Entire home/apt,"$1,441.00"
309,Karen,2012-06-27,Malibu,Entire guesthouse,Entire home/apt,$132.00
310,Karen,2012-06-27,Malibu,Entire guesthouse,Entire home/apt,$320.00
311,Julie AND Lautner,2012-01-04,Venice,Entire home,Entire home/apt,$89.00
312,Reyna,2012-06-29,Hollywood Hills,Entire villa,Entire home/apt,
313,Mimi,2012-09-06,West Hollywood,Private room in rental unit,Private room,$114.00
314,Jenna,2012-10-07,Westchester/Playa Del Rey,Entire condo,Entire home/apt,$236.00
315,Lynn,2012-10-07,,Private room in home,Private room,$176.00
316,Dawn,2012-06-25,Laurel Canyon,Entire home,Entire home/apt,$253.00
317,Biscuit,2013-01-03,Arts District,Entire loft,Entire home/apt,$209.00
318,Manige,2012-08-23,Beverly Hills,Entire guesthouse,Entire home/apt,$156.00
319,Keri,2012-10-09,Mid-Wilshire,Entire rental unit,Entire home/apt,$199.00
320,Adee & Itay,2012-03-04,Venice,Entire guesthouse,Entire home/apt,$295.00
321,Robert,2011-03-25,Hollywood Hills,Entire villa,Entire home/apt,$548.00
322,Leigh,2011-01-04,West Hollywood,Entire bungalow,Entire home/apt,
323,Georgia,2011-01-17,Mid-City,Private room in home,Private room,$107.00
324,Deirdre,2010-09-10,Mid-City,Private room in home,Private room,$45.00
325,Stanley,2012-06-29,Venice,Entire home,Entire home/apt,$375.00
326,Jake,2016-11-24,South Redondo,Entire cottage,Entire home/apt,
327,Lyndall,2012-06-29,Studio City,Entire home,Entire home/apt,$829.00
328,Chris,2012-07-02,Malibu,Entire vacation home,Entire home/apt,
329,Kirsti Ann,2012-07-02,Pasadena,Private room in home,Private room,$54.00
330,Donna,2012-07-02,Studio City,Entire home,Entire home/apt,
331,Kirby,2012-07-03,Hollywood,Entire bungalow,Entire home/apt,$172.00
332,Deborah,2012-03-17,Beverly Hills,Entire guesthouse,Entire home/apt,$267.00
333,Fabienne And Jean,2012-07-05,Bel Air/Beverly Crest,Entire home,Entire home/apt,"$1,384.00"
334,Zeev,2011-02-16,Encino,Entire guesthouse,Entire home/apt,$129.00
335,Jennifer,2012-10-10,Mid-City,Entire cottage,Entire home/apt,$170.00
336,Jessica,2012-09-11,Venice,Private room in home,Private room,$130.00
337,Michal,2013-07-25,Pasadena,Private room in rental unit,Private room,$86.00
338,Michelle,2012-10-14,Mid-Wilshire,Entire guesthouse,Entire home/apt,$93.00
339,Isabelle,2012-08-23,Topanga,Entire home,Entire home/apt,$311.00
340,Joy,2010-02-01,South Robertson,Private room in rental unit,Private room,$119.00
341,Carmen Camila,2012-10-17,North Hollywood,Entire guesthouse,Entire home/apt,$125.00
342,Scott,2012-10-18,Laurel Canyon,Entire home,Entire home/apt,$243.00
343,James,2010-11-11,Santa Monica,Entire bungalow,Entire home/apt,
344,Kris,2011-01-11,Cerritos,Private room in townhouse,Private room,$65.00
345,Jennifer,2011-02-22,South LA,Entire guesthouse,Entire home/apt,$114.00
346,Charlene,2011-03-07,Silver Lake,Entire vacation home,Entire home/apt,$106.00
347,Maile,2012-12-14,Silver Lake,Entire rental unit,Entire home/apt,$150.00
348,Mebane,2011-10-10,Manhattan Beach,Entire home,Entire home/apt,"$1,799.00"
349,Sergio And Dom,2012-12-14,Sherman Oaks,Entire home,Entire home/apt,$618.00
350,Victoria,2012-12-15,Westchester/Playa Del Rey,Entire home,Entire home/apt,$582.00
351,Jefferson,2009-11-24,Arts District,Room in hotel,Private room,$56.00
352,Fitzjoy,2012-12-18,Silver Lake,Entire villa,Entire home/apt,$430.00
353,William,2011-10-10,Long Beach,Entire rental unit,Entire home/apt,$154.00
354,Jefferson,2009-11-24,Arts District,Room in boutique hotel,Private room,
355,Robert,2009-07-29,Hollywood Hills,Entire home,Entire home/apt,$110.00
356,Cari,2011-03-11,Mid-Wilshire,Entire rental unit,Entire home/apt,$109.00
357,Andy,2010-08-08,Lynwood,Room in hotel,Private room,$93.00
